,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,1.0519129365682602,0.5997166666666667,21.24215865135193,22.75710439682007,0.01,1000,True
1,1,2,0.5331256359815597,0.7912666666666667,21.80365538597107,44.840012550354004,0.01,1000,True
2,1,3,0.429855019847552,0.8395666666666667,23.115147590637207,68.1665952205658,0.01,1000,True
3,1,4,0.3886754587292671,0.8551333333333333,22.77359890937805,91.31419610977173,0.01,1000,True
4,1,5,0.35894604871670405,0.8655166666666667,21.339370250701904,112.95927262306213,0.01,1000,True
5,2,1,0.9667107443014781,0.6276,22.018309831619263,23.514304876327515,0.01,1000,False
6,2,2,0.5447768270969391,0.7896666666666666,24.739794492721558,48.427361726760864,0.01,1000,False
7,2,3,0.45492732028166455,0.832,24.09480047225952,72.69071054458618,0.01,1000,False
8,2,4,0.4033487190802892,0.85095,24.736709594726562,97.5550787448883,0.01,1000,False
9,2,5,0.37212568571170174,0.86325,23.275680780410767,121.16689467430115,0.01,1000,False
10,3,1,1.1900346835454305,0.5566166666666666,21.400622129440308,24.512805461883545,0.01,2000,True
11,3,2,0.619159597158432,0.7545833333333334,21.89873218536377,46.56862759590149,0.01,2000,True
12,3,3,0.5273372580607733,0.7905666666666666,21.091879844665527,67.96793222427368,0.01,2000,True
13,3,4,0.47167093952496847,0.8203333333333334,22.05276322364807,90.2250165939331,0.01,2000,True
14,3,5,0.4240804632504781,0.8433333333333334,22.812459468841553,113.36354494094849,0.01,2000,True
15,4,1,1.2752204755942027,0.51665,19.96430540084839,22.564131021499634,0.01,2000,False
16,4,2,0.6479022383689881,0.74765,19.973931550979614,42.67669177055359,0.01,2000,False
17,4,3,0.528692231575648,0.79665,22.131937742233276,65.04300308227539,0.01,2000,False
18,4,4,0.4706537981828054,0.8237666666666666,21.519737243652344,86.76120853424072,0.01,2000,False
19,4,5,0.4354067981243134,0.8407166666666667,21.18008279800415,108.06495976448059,0.01,2000,False
